STATE,COUNTY,STATENAME,COUNTYNAME,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL
20,171,Kansas,Scott,4936,1858430303,3647,73.89,3917108,0.21,2411.4,0,0,0,0,,3647,73.89,3917108,0.21,2411.4,1289,26.11,1854513195,99.79,1.8
20,173,Kansas,Sedgwick,498365,2583543968,460197,92.34,535686107,20.73,2225,460197,92.34,535686107,20.73,2225,0,0,0,0,,38168,7.66,2047857861,79.27,48.3
20,175,Kansas,Seward,22952,1656290756,20329,88.57,23950164,1.45,2198.4,0,0,0,0,,20329,88.57,23950164,1.45,2198.4,2623,11.43,1632340592,98.55,4.2
20,177,Kansas,Shawnee,177934,1408995941,149777,84.18,205518566,14.59,1887.5,149777,84.18,205518566,14.59,1887.5,0,0,0,0,,28157,15.82,1203477375,85.41,60.6
20,179,Kansas,Sheridan,2556,2320518450,0,0,0,0,,0,0,0,0,,0,0,0,0,,2556,100,2320518450,100,2.9
20,181,Kansas,Sherman,6010,2735199253,4553,75.76,6997608,0.26,1685.2,0,0,0,0,,4553,75.76,6997608,0.26,1685.2,1457,24.24,2728201645,99.74,1.4
20,183,Kansas,Smith,3853,2319243495,0,0,0,0,,0,0,0,0,,0,0,0,0,,3853,100,2319243495,100,4.3
20,185,Kansas,Stafford,4437,2051389748,0,0,0,0,,0,0,0,0,,0,0,0,0,,4437,100,2051389748,100,5.6
20,187,Kansas,Stanton,2235,1762086193,0,0,0,0,,0,0,0,0,,0,0,0,0,,2235,100,1762086193,100,3.3
20,189,Kansas,Stevens,5724,1883679100,3936,68.76,4269741,0.23,2387.5,0,0,0,0,,3936,68.76,4269741,0.23,2387.5,1788,31.24,1879409359,99.77,2.5
